epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.387,4.68618,0.01275,0.06078,4.63794,2.914e-05,2.914e-05,2.914e-05
2,20.5532,4.59449,0.03431,0.12941,4.50684,5.33572e-05,5.33572e-05,5.33572e-05
3,28.6708,4.43692,0.09118,0.27255,4.32007,7.16186e-05,7.16186e-05,7.16186e-05
4,37.0914,4.23843,0.19902,0.48725,4.10107,6.6082e-05,6.6082e-05,6.6082e-05
5,45.472,4.03231,0.33235,0.63824,3.90613,5.6776e-05,5.6776e-05,5.6776e-05
6,54.6605,3.85392,0.42843,0.72647,3.72571,4.747e-05,4.747e-05,4.747e-05
7,64.6764,3.70012,0.48922,0.77941,3.57166,3.8164e-05,3.8164e-05,3.8164e-05
8,74.2234,3.57721,0.51373,0.7951,3.45886,2.8858e-05,2.8858e-05,2.8858e-05
9,84.044,3.48018,0.54216,0.82157,3.37671,1.9552e-05,1.9552e-05,1.9552e-05
10,93.8117,3.42348,0.56078,0.82549,3.32935,1.0246e-05,1.0246e-05,1.0246e-05
